Semana del semestre,Software,Id_Asistencia,Cantidad Total,Probabilidad
16,SAP,9,9,0.3
16,Odoo,4,4,0.13333333333333333
16,R,3,3,0.1
16,Cesim Global Challenge,2,2,0.06666666666666667
16,Littlefield,2,2,0.06666666666666667
16,Programación para no Programadores,2,2,0.06666666666666667
16,Python,2,2,0.06666666666666667
16,SPSS,2,2,0.06666666666666667
16,Excel,1,1,0.03333333333333333
16,Moodle,1,1,0.03333333333333333
16,SAP Analytics Cloud,1,1,0.03333333333333333
16,Zoom,1,1,0.03333333333333333
16,Ninguno,0,0,0.0
15,Littlefield,10,10,0.21739130434782608
15,Odoo,10,10,0.21739130434782608
15,SAP,6,6,0.13043478260869565
15,NVivo,4,4,0.08695652173913043
15,R,4,4,0.08695652173913043
15,Latex,2,2,0.043478260869565216
15,OpenSesame,2,2,0.043478260869565216
15,Ztree,2,2,0.043478260869565216
15,Cesim Hospitality,1,1,0.021739130434782608
15,Cesim Project,1,1,0.021739130434782608
15,Excel,1,1,0.021739130434782608
15,Outlook,1,1,0.021739130434782608
15,Python,1,1,0.021739130434782608
15,SPSS,1,1,0.021739130434782608
15,Ninguno,0,0,0.0
14,Odoo,10,10,0.2127659574468085
14,SAP,9,9,0.19148936170212766
14,Microsoft Project,4,4,0.0851063829787234
14,Littlefield,3,3,0.06382978723404255
14,R,3,3,0.06382978723404255
14,SPSS,3,3,0.06382978723404255
14,Excel,2,2,0.0425531914893617
14,Latex,2,2,0.0425531914893617
14,Python,2,2,0.0425531914893617
14,Arena,1,1,0.02127659574468085
14,Cesim Retail,1,1,0.02127659574468085
14,Inkscape,1,1,0.02127659574468085
14,Matlab,1,1,0.02127659574468085
14,SAP Analytics Cloud,1,1,0.02127659574468085
14,STATA,1,1,0.02127659574468085
14,Siigo,1,1,0.02127659574468085
14,Tableau,1,1,0.02127659574468085
14,Zoom,1,1,0.02127659574468085
14,Ninguno,0,0,0.0
13,Odoo,12,12,0.21428571428571427
13,SAP,12,12,0.21428571428571427
13,R,6,6,0.10714285714285714
13,Latex,4,4,0.07142857142857142
13,Siigo,3,3,0.05357142857142857
13,Cesim Bank,2,2,0.03571428571428571
13,Littlefield,2,2,0.03571428571428571
13,Microsoft Project,2,2,0.03571428571428571
13,NVivo,2,2,0.03571428571428571
13,Python,2,2,0.03571428571428571
13,SAP Analytics Cloud,2,2,0.03571428571428571
13,Anylogic,1,1,0.017857142857142856
13,Cesim Retail,1,1,0.017857142857142856
