"Id_Asistencia","Materia","Software","Profesor Encargado","Programa Curricular","Nivel académico","Fecha","Día de la semana","Horario","Número de participantes","Semestre","Semana del semestre","Nombre del monitor","Estado","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","30/01/2017","Monday","Ninguno","Ninguno","2017-I","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","31/01/2017","Tuesday","Ninguno","Ninguno","2017-I","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","01/02/2017","Wednesday","Ninguno","Ninguno","2017-I","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","02/02/2017","Thursday","Ninguno","Ninguno","2017-I","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","03/02/2017","Friday","Ninguno","Ninguno","2017-I","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","04/02/2017","Saturday","Ninguno","Ninguno","2017-I","1","Ninguno","","","","","","","","","","","","",""
"AD20170101","Fundamentos de Finanzas","Excel","Luis German Ome","Administración de Empresas","Pregrado","06/02/2017","Monday","18:00- 20:00","N/A","2017-I","2","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","07/02/2017","Tuesday","Ninguno","Ninguno","2017-I","2","Ninguno","","","","","","","","","","","","",""
"AD20170102","Estrategia de Mercados","Moodle","Alvaro Viña","Administración de Empresas","Pregrado","08/02/2017","Wednesday","10:00- 11:00","N/A","2017-I","2","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","09/02/2017","Thursday","Ninguno","Ninguno","2017-I","2","Ninguno","","","","","","","","","","","","",""
"AD20170103","Maestría en Administración","Moodle","Luis Alejandro Rodriguez","Maestría en Administración","Posgrado","10/02/2017","Friday","09:00- 10:00","N/A","2017-I","2","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","11/02/2017","Saturday","Ninguno","Ninguno","2017-I","2","Ninguno","","","","","","","","","","","","",""
"AD20170104","Fundamentos de Finanzas","Excel","Luis German Ome","Administración de Empresas","Pregrado","13/02/2017","Monday","18:00- 20:00","N/A","2017-I","3","","DICTADA","","","","","","","","","","","",""
"AD20170105","Teoría Contemporanea de la Organización","Moodle","Alex Árias","Administración de Empresas","Pregrado","13/02/2017","Monday","10:00- 11:00","N/A","2017-I","3","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","14/02/2017","Tuesday","Ninguno","Ninguno","2017-I","3","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","15/02/2017","Wednesday","Ninguno","Ninguno","2017-I","3","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","16/02/2017","Thursday","Ninguno","Ninguno","2017-I","3","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","17/02/2017","Friday","Ninguno","Ninguno","2017-I","3","Ninguno","","","","","","","","","","","","",""
